Tempo;Gesto
15:52:29.810;FECHADA
15:52:29.842;FECHADA
15:52:29.875;FECHADA
15:52:29.907;ABERTA
15:52:29.939;ABERTA
15:52:29.971;ABERTA
15:52:30.002;ABERTA
15:52:30.034;ABERTA
15:52:30.066;ABERTA
15:52:30.099;ABERTA
15:52:30.130;ABERTA
15:52:30.162;ABERTA
15:52:30.194;FECHADA
15:52:30.225;ABERTA
15:52:30.259;ABERTA
15:52:30.291;ABERTA
15:52:30.323;ABERTA
15:52:30.354;ABERTA
15:52:30.386;ABERTA
15:52:30.419;ABERTA
15:52:30.452;ABERTA
15:52:30.484;ABERTA
15:52:30.518;ABERTA
15:52:30.551;ABERTA
15:52:30.584;ABERTA
15:52:30.617;ABERTA
15:52:30.650;ABERTA
15:52:30.684;ABERTA
15:52:30.716;ABERTA
15:52:30.750;ABERTA
15:52:30.781;ABERTA
15:52:30.814;ABERTA
15:52:30.847;ABERTA
15:52:30.879;ABERTA
15:52:30.911;ABERTA
15:52:30.942;ABERTA
15:52:30.974;ABERTA
15:52:31.006;ABERTA
15:52:31.040;ABERTA
15:52:31.073;ABERTA
15:52:31.105;ABERTA
15:52:31.137;ABERTA
15:52:31.169;ABERTA
15:52:31.201;ABERTA
15:52:31.233;ABERTA
15:52:31.265;ABERTA
15:52:31.296;FECHADA
15:52:31.328;FECHADA
15:52:31.361;FECHADA
15:52:31.395;FECHADA
15:52:31.427;FECHADA
15:52:31.460;FECHADA
15:52:31.494;FECHADA
15:52:31.526;FECHADA
15:52:31.559;ABERTA
15:52:31.590;FECHADA
15:52:31.622;ABERTA
15:52:31.654;FECHADA
15:52:31.685;FECHADA
15:52:31.718;FECHADA
15:52:31.750;FECHADA
15:52:31.782;FECHADA
15:52:31.814;FECHADA
15:52:31.846;FECHADA
15:52:31.878;FECHADA
15:52:31.913;ABERTA
15:52:31.945;FECHADA
15:52:31.977;FECHADA
15:52:32.009;FECHADA
15:52:32.044;FECHADA
15:52:32.077;FECHADA
15:52:32.110;FECHADA
15:52:32.144;FECHADA
15:52:32.177;FECHADA
15:52:32.211;FECHADA
15:52:32.244;FECHADA
15:52:32.276;FECHADA
15:52:32.308;FECHADA
15:52:32.340;FECHADA
15:52:32.374;FECHADA
15:52:32.407;FECHADA
15:52:32.440;FECHADA
15:52:32.472;FECHADA
15:52:32.505;FECHADA
15:52:32.537;FECHADA
15:52:32.569;FECHADA
15:52:32.603;FECHADA
15:52:32.635;FECHADA
15:52:32.667;FECHADA
15:52:32.701;ABERTA
15:52:32.733;FECHADA
15:52:32.766;FECHADA
15:52:32.798;FECHADA
15:52:32.831;ABERTA
15:52:32.863;ABERTA
15:52:32.896;ABERTA
15:52:32.929;ABERTA
15:52:32.961;ABERTA
15:52:32.996;ABERTA
15:52:33.029;ABERTA
15:52:33.062;ABERTA
15:52:33.094;ABERTA
15:52:33.127;ABERTA
15:52:33.159;ABERTA
15:52:33.190;ABERTA
15:52:33.222;ABERTA
15:52:33.254;ABERTA
15:52:33.288;ABERTA
15:52:33.323;ABERTA
15:52:33.355;ABERTA
15:52:33.389;ABERTA
15:52:33.422;ABERTA
15:52:33.456;FECHADA
15:52:33.489;FECHADA
15:52:33.520;FECHADA
15:52:33.551;FECHADA
15:52:33.583;FECHADA
15:52:33.615;ABERTA
15:52:33.647;FECHADA
15:52:33.682;FECHADA
15:52:33.714;FECHADA
15:52:33.745;FECHADA
15:52:33.777;FECHADA
15:52:33.809;FECHADA
15:52:33.842;FECHADA
15:52:33.875;ABERTA
15:52:33.907;ABERTA
15:52:33.940;ABERTA
15:52:33.975;ABERTA
