Tempo;Gesto
16:02:23.162;ABERTA
16:02:23.194;ABERTA
16:02:23.226;ABERTA
16:02:23.353;ABERTA
16:02:23.385;ABERTA
16:02:23.417;ABERTA
16:02:23.448;FECHADA
16:02:23.480;FECHADA
16:02:23.512;FECHADA
16:02:23.544;FECHADA
16:02:23.575;ABERTA
16:02:23.607;ABERTA
16:02:23.639;ABERTA
16:02:23.671;ABERTA
16:02:23.702;ABERTA
16:02:23.734;ABERTA
16:02:23.766;ABERTA
16:02:23.797;ABERTA
16:02:23.829;ABERTA
16:02:23.860;ABERTA
16:02:23.892;ABERTA
16:02:23.924;ABERTA
16:02:23.955;ABERTA
16:02:23.986;ABERTA
16:02:24.018;ABERTA
16:02:24.049;ABERTA
16:02:24.081;ABERTA
16:02:24.113;ABERTA
16:02:24.145;ABERTA
16:02:24.176;ABERTA
16:02:24.207;ABERTA
16:02:24.239;ABERTA
16:02:24.270;ABERTA
16:02:24.302;ABERTA
16:02:24.335;ABERTA
16:02:24.366;ABERTA
16:02:24.398;ABERTA
16:02:24.430;ABERTA
16:02:24.461;ABERTA
16:02:24.493;ABERTA
16:02:24.525;ABERTA
16:02:24.556;ABERTA
16:02:24.587;ABERTA
16:02:24.619;ABERTA
16:02:24.650;ABERTA
16:02:24.682;ABERTA
16:02:24.714;ABERTA
16:02:24.745;ABERTA
16:02:24.777;ABERTA
16:02:24.808;ABERTA
16:02:24.840;ABERTA
16:02:24.871;ABERTA
16:02:24.903;ABERTA
16:02:24.936;ABERTA
16:02:24.967;ABERTA
16:02:24.999;ABERTA
16:02:25.031;ABERTA
16:02:25.063;ABERTA
16:02:25.095;ABERTA
16:02:25.127;ABERTA
16:02:25.159;ABERTA
16:02:25.190;ABERTA
16:02:25.222;ABERTA
16:02:25.255;ABERTA
16:02:25.289;ABERTA
16:02:25.332;ABERTA
16:02:25.363;ABERTA
16:02:25.397;ABERTA
16:02:25.428;ABERTA
16:02:25.460;ABERTA
16:02:25.491;ABERTA
16:02:25.523;ABERTA
16:02:25.555;ABERTA
16:02:25.587;ABERTA
16:02:25.619;ABERTA
16:02:25.650;ABERTA
16:02:25.682;ABERTA
16:02:25.714;ABERTA
16:02:25.746;ABERTA
16:02:25.777;ABERTA
16:02:25.809;ABERTA
16:02:25.841;ABERTA
16:02:25.872;ABERTA
16:02:25.904;ABERTA
16:02:25.935;ABERTA
16:02:25.967;ABERTA
16:02:26.003;ABERTA
16:02:26.037;ABERTA
16:02:26.074;ABERTA
16:02:26.105;ABERTA
16:02:26.137;ABERTA
16:02:26.169;ABERTA
16:02:26.200;ABERTA
16:02:26.232;ABERTA
16:02:26.264;ABERTA
16:02:26.295;ABERTA
16:02:26.327;ABERTA
16:02:26.358;ABERTA
16:02:26.389;ABERTA
16:02:26.421;ABERTA
16:02:26.452;ABERTA
16:02:26.484;ABERTA
16:02:26.516;ABERTA
16:02:26.547;FECHADA
16:02:26.579;FECHADA
16:02:26.610;FECHADA
16:02:26.642;FECHADA
16:02:26.674;FECHADA
16:02:26.705;FECHADA
16:02:26.738;FECHADA
16:02:26.769;FECHADA
16:02:26.801;FECHADA
16:02:26.833;FECHADA
16:02:26.864;FECHADA
16:02:26.896;FECHADA
16:02:26.927;FECHADA
16:02:26.959;FECHADA
16:02:26.990;FECHADA
16:02:27.022;FECHADA
16:02:27.053;FECHADA
16:02:27.084;FECHADA
16:02:27.116;FECHADA
16:02:27.148;FECHADA
16:02:27.179;FECHADA
16:02:27.211;FECHADA
16:02:27.243;FECHADA
16:02:27.275;FECHADA
16:02:27.307;FECHADA
16:02:27.338;FECHADA
16:02:27.370;FECHADA
16:02:27.401;FECHADA
16:02:27.433;FECHADA
16:02:27.464;FECHADA
16:02:27.496;FECHADA
16:02:27.530;FECHADA
16:02:27.561;FECHADA
16:02:27.593;FECHADA
16:02:27.625;FECHADA
16:02:27.656;FECHADA
16:02:27.687;FECHADA
16:02:27.720;FECHADA
16:02:27.751;FECHADA
16:02:27.783;FECHADA
16:02:27.815;FECHADA
16:02:27.847;FECHADA
16:02:27.879;FECHADA
16:02:27.911;FECHADA
16:02:27.943;FECHADA
16:02:27.975;FECHADA
16:02:28.006;FECHADA
16:02:28.038;FECHADA
16:02:28.070;FECHADA
16:02:28.102;FECHADA
16:02:28.133;FECHADA
16:02:28.165;FECHADA
16:02:28.196;FECHADA
16:02:28.229;FECHADA
16:02:28.261;ABERTA
