Tempo;X_Bruto;X_Suavizado
16:09:22.146;167,00;167,00
16:09:22.198;178,00;168,65
16:09:22.248;178,00;170,05
16:09:22.298;185,00;172,29
16:09:22.349;193,00;175,40
16:09:22.400;201,00;179,24
16:09:22.450;204,00;182,95
16:09:22.501;207,00;186,56
16:09:22.551;207,00;189,63
16:09:22.601;211,00;192,83
16:09:22.651;211,00;195,56
16:09:22.702;205,00;196,97
16:09:22.752;195,00;196,68
16:09:22.802;178,00;193,88
16:09:22.852;179,00;191,64
16:09:22.903;210,00;194,40
16:09:22.953;220,00;198,24
16:09:23.003;210,00;200,00
16:09:23.053;194,00;199,10
16:09:23.104;181,00;196,39
16:09:23.154;181,00;194,08
16:09:23.204;172,00;190,77
16:09:23.254;158,00;185,85
16:09:23.305;134,00;178,07
16:09:23.357;129,00;170,71
16:09:23.407;126,00;164,01
16:09:23.457;127,00;158,46
16:09:23.508;151,00;157,34
16:09:23.558;158,00;157,44
16:09:23.608;147,00;155,87
16:09:23.658;128,00;151,69
16:09:23.709;126,00;147,84
16:09:23.759;129,00;145,01
16:09:23.809;157,00;146,81
16:09:23.860;168,00;149,99
16:09:23.910;169,00;152,84
16:09:23.960;160,00;153,91
16:09:24.010;130,00;150,33
16:09:24.060;121,00;145,93
16:09:24.111;134,00;144,14
16:09:24.161;178,00;149,22
16:09:24.211;184,00;154,44
16:09:24.261;165,00;156,02
16:09:24.311;143,00;154,07
16:09:24.362;123,00;149,41
16:09:24.412;116,00;144,40
16:09:24.462;141,00;143,89
16:09:24.512;178,00;149,00
16:09:24.562;176,00;153,05
16:09:24.613;147,00;152,15
16:09:24.663;123,00;147,77
16:09:24.713;129,00;144,96
16:09:24.763;178,00;149,91
16:09:24.814;186,00;155,33
16:09:24.864;179,00;158,88
16:09:24.914;138,00;155,75
16:09:24.964;120,00;150,38
16:09:25.014;140,00;148,83
16:09:25.065;185,00;154,25
16:09:25.115;188,00;159,31
16:09:25.168;155,00;158,67
16:09:25.218;141,00;156,02
16:09:25.268;168,00;157,81
16:09:25.318;188,00;162,34
16:09:25.368;168,00;163,19
16:09:25.418;151,00;161,36
16:09:25.469;166,00;162,06
16:09:25.519;182,00;165,05
16:09:25.569;181,00;167,44
16:09:25.619;177,00;168,88
16:09:25.670;178,00;170,24
16:09:25.720;177,00;171,26
